id,indicador,categoria,año,valor,distribucion,unidades,fuentes,reservas,reservas globales para ese momento
11,Maximo de produccion de crudo de la Apertura Petrolera (Venezuela),Produccion de petroleo,1997,3453000.0,"EE.UU. (via red de refinerias CITGO), Europa y Latinoamerica",Barriles por dia (bpd),PDVSA Informe de Gestion / OPEP ASB. Maximo bombeo nacional alcanzado mediante asociaciones con multinacionales antes del cambio de politica petrolera del chavismo.,74900,1140000
12,Paro Petrolero y contraccion del bombeo (Venezuela),Hitos historicos / Crisis Politica,2003,2300000.0,Interrupciones masivas en despachos hacia EE.UU. y Caribe por huelga del personal tecnico de PDVSA,Barriles por dia (bpd),Banco Central de Venezuela (BCV) / OPEP ASB. Huelga general que resulto en el despido de mas de 18,000 tecnicos, restructurando PDVSA hacia un enfoque social.,77200,1210000
13,Renacionalizacion y migracion obligatoria a Empresas Mixtas de la Faja del Orinoco,Hitos historicos / Estatizacion,2007,60.0,"PDVSA asume el control del 60% accionario obligatorio en proyectos de la Faja, provocando el retiro de ExxonMobil y ConocoPhillips",Porcentaje (%),Gaceta Oficial N° 38.632 / Decreto Ley N° 5.200. Reforma promovida por Hugo Chavez para retomar el control soberano sobre los recursos hidrocarburiferos de la Faja.,99400,1320000
14,Certificacion de reservas probadas ('Proyecto Magna Reserva'),Reservas de petroleo,2011,297600.0,"Faja Petrolifera del Orinoco (Bloques Carabobo, Junin, Boyaca y Ayacucho)",Millones de barriles (MMbbl),Gaceta Oficial N° 39.621 / MPPEE / OPEP ASB. Incorporacion oficial del crudo extrapesado de la Faja como reserva comercial convencional, superando a Arabia Saudita.,297600,1481000
15,Precio promedio anual de la cesta petrolera venezolana (Merey/OPEP),Ventas de petroleo / Precios,2015,41.11,"Mercados de Asia, Norteamerica y Europa",USD por barril (USD/b),Ministerio de Petroleo y Mineria / BCV. Fin de la bonanza petrolera por desplome mundial de precios, lo que acelero la crisis de divisas e importaciones.,300900,1492000
16,Primeras sanciones financieras de EE.UU. a PDVSA y produccion anual,Hitos historicos / Sanciones,2017,1911000.0,"EE.UU. (30%), China (40%), India (20%), otros (10%)",Barriles por dia (bpd),OFAC Orden Ejecutiva 13808 / OPEP ASB. EE.UU. prohibe transar nueva deuda o bonos de PDVSA y del Gobierno, limitando el refinanciamiento y mantenimiento de campos.,302809,1515000
17,Embargo petrolero total de EE.UU. a las exportaciones de PDVSA,Hitos historicos / Sanciones,2019,792000.0,"China (via transbordo e intermediarios en Malasia y Singapur), India, trueques menores",Barriles por dia (bpd),OFAC Orden Ejecutiva 13884 / OPEP ASB. Bloqueo total a activos de PDVSA en EE.UU. (CITGO) y sancion a buques cargueros, desviando exportaciones hacia mercados grises de Asia.,303806,1551000
18,Produccion promedio anual de crudo en el minimo historico moderno,Produccion de petroleo,2020,569000.0,"China (via intermediarios), trueque de crudo por combustibles ligeros con Iran y consumo nacional residual",Barriles por dia (bpd),OPEP ASB / BCV / Observatorio Venezolano de Finanzas. Maxima caida de produccion debido a la pandemia mundial de COVID-19, perdida de almacenamiento y sanciones de maxima presion.,303800,1549000
19,Estabilizacion de la produccion mediante importacion de diluyentes de Iran,Produccion de petroleo,2021,636000.0,"China (via flotas fantasmas o transbordos maritimos), intercambio directo con Iran",Barriles por dia (bpd),OPEP ASB / Informes tecnicos de PDVSA. Cooperacion estrategica de trueque de crudo pesado venezolano por condensado ligero irani, clave para viabilizar el transporte de la Faja.,303221,1541000
20,Flexibilizacion parcial de EE.UU. y Licencia General 41 para Chevron,Hitos historicos / Produccion,2022,716000.0,"Exportaciones directas de empresas mixtas operadas por Chevron (Petropiar, Petroboscan) a refinerias de la Costa del Golfo de EE.UU.",Barriles por dia (bpd),OFAC Licencia General 41 / OPEP ASB. Autorizacion para reactivar la operacion comercial de Chevron solo para exportar crudo a EE.UU., amortizando deudas de PDVSA.,303221,1564000
21,Alivio general temporal de sanciones comerciales con la Licencia General 44,Hitos historicos / Produccion,2023,783000.0,"EE.UU., China, India (Reliance), Europa Occidental (Repsol, Eni)",Barriles por dia (bpd),OFAC Licencia General 44 / OPEP ASB. Alivio temporal de sanciones tras la firma de los Acuerdos Politicos de Barbados, permitiendo transar, vender y cobrar crudo sin restricciones por 6 meses.,303221,1570000
22,Restablecimiento de sanciones pero continuidad con licencias especificas,Hitos historicos / Sanciones,2024,850000.0,"EE.UU. (Chevron), China, India (vía Reliance bajo licencia OFAC), Europa (Repsol, Eni, Maurel & Prom)",Barriles por dia (bpd),Ministerio de Petroleo / OPEP ASB 2025. Restablecimiento parcial de sanciones de EE.UU. al expirar la LG 44, implementándose la LG 44A y autorizaciones individuales específicas.,303000,1567000
23,Produccion promedio anual de crudo bajo presion arancelaria de EE.UU.,Produccion de petroleo,2025,950000.0,"EE.UU., China (con triangulacion), India y España (Repsol)",Barriles por dia (bpd),Ministerio de Petroleo / Informes OPEP. Reinstitución de sanciones drásticas por la administración de Trump y caída temporal de bombeo al cierre de año a 800 mil bpd debido a bloqueos marítimos.,303000,1565000
24,Operacion Absolute Resolve e intervencion militar de EE.UU. en Venezuela,Hitos historicos / Geopolitica,2026,1.0,"Control militar estadounidense de infraestructuras del norte del pais y detencion de Nicolas Maduro.",Operacion Militar,"White House / US Department of Justice. Captura de Nicolas Maduro por narcoterrorismo el 3 de enero de 2026. Delcy Rodriguez asume la presidencia interina bajo tutela estadounidense.",303000,1565000
25,Reforma legal de la Ley Organica de Hidrocarburos por Delcy Rodriguez,Hitos historicos / Legislacion,2026,100.0,"Se elimina la obligatoriedad de que PDVSA mantenga la mayoria accionaria (51%) en empresas mixtas, abriendo el sector al 100% privado.",Porcentaje de apertura (%),Gaceta Oficial Interina de Venezuela / Decreto de 29 de enero de 2026. Ley de reforma promovida por la presidencia interina para atraer inversion privada y reactivar la industria.,303000,1565000
26,Ingresos extraordinarios por exportaciones petroleras (Balanza de Pagos - Q1),Ventas de petroleo / Finanzas,2026,5491000000.0,"Depositos en cuentas del Tesoro de EE.UU. (Foreign Government Deposit Funds) bajo supervision de OFAC.",USD ($) corrientes,"Banco Central de Venezuela (BCV), Balanza de Pagos del Primer Trimestre de 2026. Alza interanual del 21.5% tras la regularización parcial y el fin del bloqueo marítimo de exportaciones.",303000,1565000
27,Volumen de exportacion maritima y recuperacion mensual de mayo,Ventas de petroleo / Exportacion,2026,1250000.0,"EE.UU. (40%), India (30%), Europa Occidental (20%), otros mercados (10%)",Barriles por dia (bpd),Datos de navegacion maritima / Reuters / Bloomberg. Desbloqueo y venta de inventarios acumulados (hasta 50 millones de barriles) mediante comercializadoras como Vitol y Trafigura.,303000,1565000
